"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
CAS500-1,CAS500-1,South Korea,Government,Earth Observation,509,2021-03-22
Cassiope (CAScade SmallSat and Ionospheric Polar Explorer),Cassiope,Canada,Government,Earth Science,"1,486",2013-09-29
"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)",USA 283,USA,Military,Communications,"35,826",2018-04-14
CBERS 4 (China-Brazil Earth Resources Satellite 4),CBERS 4,China/Brazil,Government,Earth Observation,748,2014-12-07
CBERS 4A (China-Brazil Earth Resources Satellite 4A),CBERS 4A,China/Brazil,Government,Earth Observation ,635,2019-12-21
CBNT-1 (Carbonite 1),CBNT-1,United Kingdom,Commercial,Technology Development,658,2015-07-10
CBNT-2 (Carbonite 2),CBNT-2,United Kingdom,Commercial,Technology Development,505,2018-01-11
CELTEE-1 (CubeSat Enhanced Locator Transponder Evaluation Experiment-1),CELTEE-1,USA,Military,Technology Development,586,2016-11-11
Centauri-1,Centauri-1,Australia,Commercial,Communications,500,2018-11-29
Centauri-2,Centauri-2,Australia,Commercial,Technology Development,591,2018-12-03
Centispace-1-S1,Centispace-1-S1,China,Commercial,Technology Development,719,2018-09-29
CeReS (Compact Radiation belt Explorer),CeReS,USA,Government,Space Science,511,2018-12-16
CERES 1 (CapacitÉ de Renseignement Électromagnétique Spatiale),CERES,France,Military,Earth Observation,672,2021-11-16
CERES 2 (CapacitÉ de Renseignement Électromagnétique Spatiale),CERES,France,Military,Earth Observation,672,2021-11-16
CERES 3 (CapacitÉ de Renseignement Électromagnétique Spatiale),CERES,France,Military,Earth Observation,673,2021-11-16
CE-SAT-1 (Canon Electric Satellite 1),CE-SAT-1,Japan,Commercial,Technology Development,517,2017-06-22
CE-SAT-2B (Canon Electric Satellite 2B),CE-SAT-2B,Japan,Commercial,Technology Demonstration,523,2020-10-28
Cesium Satellite 1,Cesium Satellite 1,USA,Military,Technology Development,580,2021-09-27
Cesium Satellite 2,Cesium Satellite 2,USA,Military,Technology Development,580,2021-09-27
CFESat (Cibola Flight Experiment Satellite),CFESat,USA,Government,Technology Development,544,2007-03-09
CFOSat (China-France Oceanography Satellite),CFOSat,China/France,Government,Earth Observation,523,2018-10-28
Challenge One,Challenge One,Tunisia,Commercial,Technology Development,564,2021-03-22
Chandra X-Ray Observatory (CXO),Chandra X-Ray Observatory (CXO),USA,Government,Space Science,"138,825",1999-07-23
Changshagaoxin (TY 4-01) ,Changshagaoxin ,China,Commercial,Technology Development,522,2018-10-29
Chao Fenbianlu Duo Guangpu Chengxiang Weixing (Ultra-resolution multispectral imaging satellite),Chao Fenbianlu,China,Government,Earth Observation ,720,2016-12-21
"CHASE (Chinese Hydrogen Alpha Solar Explorer, Xihe)",CHASE,China,Government,Space Science,519,2021-10-14
Chefsat-2 (Cost-effective High E-Frequency Satellite),Chefsat-2,USA,Military,Technology Development,459,2019-02-13
CHEOPS (CHaracterising ExOPlanet Satellite),CHEOPS,ESA,Government,Space Science,708,2019-12-18
CHOMPTT (CubeSat Handling Of Multisystem Precision Time Transfer),CHOMPTT,USA,Government/Civil,Technology Development,511,2018-12-16
"Chuangxin 1-1 (Innovation 1-1, Chuang Xin 1, CX-1-1)",Chuangxin 1-1,China,Government,Communications,748,2003-10-21
Chuangxin 1-2 (Innovation 1-2),Chuangxin 1-2,China,Government,Earth Observation,804,2008-11-05
Chuangxin 1-3 (Innovation 1-3),Chuangxin 1-3,China,Government,Earth Observation,804,2011-11-20
Chuangxin 1-4 (Innovation 1-4),Chuangxin 1-4,China,Government,Earth Observation,809,2014-09-04
Chuangxin-3,Chuangxin-3,China,Government,Technology Development,672,2013-07-19
Cicero-10 (Community Initiative for Cellular Earth Remote Observation-10),Cicero-10,USA,Commercial,Earth Observation,517,2018-11-10
Cicero-2,Cicero-2,USA,Commercial,Earth Observation,602,2017-07-14
Cicero-3,Cicero-3,USA,Commercial,Earth Observation,602,2017-07-14
Cicero-6 (Community Initiative for Cellular Earth Remote Observation-6),Cicero-6,USA,Commercial,Earth Observation,515,2017-06-23
Cicero-7 (Community Initiative for Cellular Earth Remote Observation-7),Cicero-7,USA,Commercial,Earth Observation,504,2018-01-11
Cicero-8 (Community Initiative for Cellular Earth Remote Observation-8),Cicero-8,USA,Commercial,Earth Observation,500,2018-11-29
Ciel-2,Ciel-2,Canada,Commercial,Communications,"35,788",2008-12-10
"CINEMA-1 (Cubesat for Ion, Neutral, Electron, Magnetic fields)",CINEMA-1,USA,Civil,Space Science,791,2012-09-13
CIRiS (Compact Radiometer in Space),CiRiS,USA,Commercial/Civil,Technology Development,474,2020-01-31
CLIO (USA 257),USA 257,USA,Military,Communications,"35,854",2014-09-16
Cloudsat,Cloudsat,USA,Government/Civil,Earth Observation,703,2006-04-28
CMS-1 (GSAT 12R),CMS-1,India,Government,Communications,"35,795",2020-12-17
CNCE-1,CNCE-1,USA,Military,Communications,521,2021-06-30
CNCE-3,CNCE-3,USA,Military,Communications,521,2021-06-30
Compass-2 (QB50-DE04),Compass-2,Germany,Government/Civil,Technology Development,513,2017-06-23
"COMS-1 (Communication, Ocean and Meteorological Satellite; Cheollian)",COMS-1,South Korea,Government,Earth Observation/Communications,"35,791",2010-06-26
COMSATBw-1 (COmmunications SATellite für BundesWehr),COMSATBw-1,Germany,Military,Communications,"35,799",2009-10-01
COMSATBw-2 (COmmunications SATellite für BundesWehr),COMSATBw-2,Germany,Military,Communications,"35,794",2010-05-21
Condor E2 ,Condor E2,South Africa,Military,Earth Observation,501,2014-12-19
Coriolis (Windsat),Coriolis,USA,Military,Earth Observation,841,2003-01-06
CORVUS BC1 (Landmapper),CORVUS BC1,USA,Commercial,Earth Observation,599,2017-07-12
CORVUS BC2 (Landmapper),CORVUS BC2,USA,Commercial,Earth Observation,598,2017-07-12
CORVUS BC3 (Landmapper),CORVUS BC3,USA,Commercial,Earth Observation,503,2018-01-12
CORVUS BC4 (Landmapper),CORVUS BC4,USA,Commercial,Earth Observation,591,2018-12-03
CORVUS BC5 (Landmapper),CORVUS BC5,USA,Commercial,Earth Observation,509,2020-11-20
"COSMIC 2-1 (COSMIC FM-1, Formosat 7A)",COSMIC 2-1,Taiwan/USA,Government,Earth Observation,721,2019-06-25
"COSMIC 2-2 (COSMIC FM-2, Formosat 7B)",COSMIC 2-2,Taiwan/USA,Government,Earth Observation,724,2019-06-25
"COSMIC 2-3 (COSMIC FM-3, Formosat 7C)",COSMIC 2-3,Taiwan/USA,Government,Earth Observation,724,2019-06-25
"COSMIC 2-4 (COSMIC FM-4, Formosat 7D)",COSMIC 2-4,Taiwan/USA,Government,Earth Observation,724,2019-06-25
"COSMIC 2-5 (COSMIC FM-5, Formosat 7E)",COSMIC 2-5,Taiwan/USA,Government,Earth Observation,724,2019-06-25
"COSMIC 2-6 (COSMIC FM-6, Formosat 7F)",COSMIC 2-6,Taiwan/USA,Government,Earth Observation,724,2019-06-25
"COSMIC-A (Formosat-3A, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-A,Taiwan/USA,Government/Civil,Earth Observation,836,2006-04-15
"COSMIC-B (Formosat-3B, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-B,Taiwan/USA,Government/Civil,Earth Observation,831,2006-04-15
"COSMIC-D (Formosat-3D, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-D,Taiwan/USA,Government/Civil,Earth Observation,746,2006-04-15
"COSMIC-E (Formosat-3E, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-E,Taiwan/USA,Government/Civil,Earth Observation,849,2006-04-15
"COSMIC-F (Formosat-3F, Constellation Observing System for Meteorology, Ionosphere and Climate)",COSMIC-F,Taiwan/USA,Government/Civil,Earth Observation,828,2006-04-15
Cosmos 2504,Cosmos 2504,Russia,Military,Technology Development,"1,504",2015-03-31
Cosmos 2535,Cosmos 2535,Russia,Military,Technology Development,621,2019-07-10
Cosmos 2536,Cosmos 2536,Russia,Military,Technology Development,622,2019-07-10
Cosmos 2542,Cosmos 2542,Russia,Military,Earth/Space Observation,856,2019-11-25
Cosmos 2543,Cosmos 2543,Russia,Military,Earth/Space Observation,856,2019-11-25
Cosmos 3537,Cosmos 2537,Russia,Military,Technology Development,623,2019-07-10
Cosmos 3538,Cosmos 2538,Russia,Military,Technology Development,623,2019-07-10
COSMO-Skymed 1 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 1,Italy,Military/Civil,Earth Observation,623,2007-06-08
COSMO-Skymed 2 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 2,Italy,Military/Government,Earth Observation,623,2007-12-09
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 3,Italy,Military/Government,Earth Observation,623,2008-10-25
COSMO-Skymed 4 (Constellation of small Satellites for Mediterranean basin Observation),COSMO-Skymed 4,Italy,Military/Government,Earth Observation,623,2010-11-06
CP-10 (Exocube),CP-10,USA,Government/Civil,Earth Observation,657,2015-01-31
Cryosat-2 ,Cryosat-2,ESA,Government,Earth Observation,724,2010-04-08
CSG-1 (COSMO-SkyMed Second Generation),CSG-1,Italy,Military/Government,Earth Observation,622,2019-12-18
CSIM-FD (Compact Spectral Irradiance Monitor - Flight Demonstration),CSIM-FD,USA,Civil,Space Science,590,2018-12-03
CSO-1 (Optical Space Component-1),CSO-1,France,Military,Earth Observation,800,2018-12-19
CSO-2 (Optical Space Component-2),CSO-2,France,Military,Earth Observation,480,2020-12-28
"Cubebug 2 (Manolito, LO-74)",Cubebug 2,Argentina,Civil,Technology Development,715,2013-11-21
CubeSail USAT,Cubesail USAT,USA,Civil,Technology Development,511,2018-12-16
"Cubesat XI-IV (Oscar 57, CO-57)",Cubesat XI-IV ,Japan,Civil,Technology Development,830,2003-06-30
CuPID (Cusp Plasma Imaging Detector),CuPID,USA,Government,Earth Science,573,2021-09-27
CUTE (Colorado Ultraviolet Transit Experiment),CUTE,USA,Government,Space Science,574,2021-09-27
CYGNSS FM01 (Cyclone Global Navigation Satellite System),CYGNSS-A,USA,Government,Earth Observation,537,2016-12-15
CYGNSS FM02 (Cyclone Global Navigation Satellite System),CYGNSS-B,USA,Government,Earth Observation,536,2016-12-15
CYGNSS FM03 (Cyclone Global Navigation Satellite System),CYGNSS-C,USA,Government,Earth Observation,533,2016-12-15
CYGNSS FM04 (Cyclone Global Navigation Satellite System),CYNGSS-D,USA,Government,Earth Observation,534,2016-12-15
CYGNSS FM05 (Cyclone Global Navigation Satellite System),CYGNSS-E,USA,Government,Earth Observation,537,2016-12-15
CYGNSS FM06 (Cyclone Global Navigation Satellite System),CYGNSS-F,USA,Government,Earth Observation,534,2016-12-15
CYGNSS FM07 (Cyclone Global Navigation Satellite System),CYGNSS-G,USA,Government,Earth Observation,534,2016-12-15
CYGNSS FM08 (Cyclone Global Navigation Satellite System),CYGNSS-H,USA,Government,Earth Observation,537,2016-12-15
D2/AtlaCom-1 ,D2/AtlaCom-1 ,Mexico,Government,Earth Observation,536,2021-06-30
"Daichi-2 (Advanced Land Observing Satellite-2, ALOS 2 2)",Daichi-2,Japan,Government,Earth Observation,635,2014-05-24
DAMPE (Dark Matter Particle Explorer),DAMPE,China,Government,Space Science,505,2015-12-17
"DAVE (Damping and Vibrations Experiment, CP7)",DAVE,USA,Civil,Technology Development,466,2018-09-15
DaVinci,DaVinci,USA,Civil,Educational,511,2018-12-16
"DCBB (Kaituo-1B, CAS-3G)",DCBB,China,Civil,Technology Development,536,2015-09-19
Deimos 1,Deimos 1,Spain,Government,Earth Observation,662,2009-07-29
Deimos 2 ,Deimos 2,Spain,Government,Earth Observation,619,2014-06-19
Dekart (Descartes),Dekart,Russia,Civil,Space Science,567,2020-09-28
Delfi-C3 (DO-64),Delfi-C3,Netherlands,Civil,Technology Development,616,2008-04-28
DeMi (Deformable Mirror),DeMi,USA,Civil,Technology Development,418,2020-07-13
DhabiSat-1,DhabiSat-1,United Arab Emirates,Civil,Technology Development,502,2021-02-20
DHFR (DARPA High Frequency Receiver),DHFR,USA,Military,Technology Development,605,2017-08-26
Diamond Blue (3 Diamonds 1),Diamond Blue,United Kingdom,Commercial,Technology Development,511,2017-06-23
Diamond Green (3 Diamonds 2),Diamond Green,United Kingdom,Commercial,Technology Development,511,2017-06-23
Diamond Red (3 Diamonds 3),Diamond Red,United Kingdom,Commercial,Technology Development,511,2017-06-23
Dido-2,Dido-2,Switzerland,Commercial,Technology Development,508,2017-02-15
Dido-3,Dido-3,Switzerland,Commercial,Space Science,536,2020-09-02
DirecTV-10,DirecTV-10,USA,Commercial,Communications,"35,788",2007-07-07
DirecTV-11,DirecTV-11,USA,Commercial,Communications,"35,786",2008-03-19
DirecTV-12,DirecTV-12,USA,Commercial,Communications,"35,786",2009-12-29
DirecTV-14,DirecTV-14,USA,Commercial,Communications,"35,933",2014-12-06
DirecTV-15,DirecTV-15,USA,Commercial,Communications,"35,809",2015-05-27
DirecTV-5 (Tempo 1),DirecTV-5,USA,Commercial,Communications,"35,799",2002-05-07
DirecTV-8,DirecTV-8,USA,Commercial,Communications,"35,796",2005-05-22
DirecTV-9S,DirecTV-9S,USA,Commercial,Communications,"35,798",2006-10-13
Diwata-2B,Diwata-2B,Japan,Civil,Earth Observation,616,2018-10-29
DLR Tubsat ,DLR Tubsat,Germany,Government,Earth Science,732,1999-05-26
DMC 3-1 (Disaster Monitoring Constellation),DMC 3-1,United Kingdom,Commercial,Earth Observation,663,2015-07-10
DMC 3-2 (Disaster Monitoring Constellation),DMC 3-2,United Kingdom,Commercial,Earth Observation,663,2015-07-10
DMC 3-3 (Disaster Monitoring Constellation),DMC 3-3,United Kingdom,Commercial,Earth Observation,661,2015-07-10
DMSat-1 ((Dubai Municipality Satellite),DMSat-1,United Arab Emirates,Government,Earth Observation,564,2021-03-22
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA 131,USA,Military,Earth Observation,855,1997-04-04
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA 147,USA,Military,Earth Observation,851,1999-12-12
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA 172,USA,Military,Earth Observation,852,2003-10-18
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA 173,USA,Military,Earth Observation,855,2006-11-04
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA 210,USA,Military,Earth Observation,859,2009-10-18
DoT-1 (Demonstration of Technology 1),DoT-1,United Kingdom,Commercial,Technology Development,546,2019-07-05
Dove 2k-10 (0 Flock 2K-10 0F32),Dove 2k-10,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-12 (0 Flock 2K-12 0F36),Dove 2k-12,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-15 (0 Flock 2K-15 0F3C),Dove 2k-15,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-18 (0 Flock 2K-18 0F44),Dove 2k-18,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-19 (0 Flock 2K-19 0F46),Dove 2k-19,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-21 (0 Flock 2K-21 0F49),Dove 2k-21,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-29 (0 Flock 2K-29 1048),Dove  2k-29,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-3 (0 Flock 2K-3 0F21),Dove 2k-3,USA,Commercial,Earth Observation,476,2017-07-14
Dove 2k-30 (0 Flock 2K-30 1049),Dove 2k-30,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-32 (0 Flock 2K-32 104B),Dove 2k-32,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-35 (0 Flock 2K-35 104E),Dove 2k-35,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-37 (0 Flock 2K-37 1050),Dove 2k-37,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2k-39 (0 Flock 2K-39 1052),Dove 2k-39,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-40 (0 Flock 2K-40 1053),Dove 2k-40,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-41 (0 Flock 2K-41 1054),Dove 2k-41,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-45 (0 Flock 2K-45 100D),Dove 2k-45,USA,Commercial,Earth Observation,474,2017-07-14
Dove 2k-7 (0 Flock 2K-7 0F2B),Dove 2k-7,USA,Commercial,Earth Observation,475,2017-07-14
Dove 2p-3 (0 Flock 2P-3 (0E0F),Dove 2p-3,USA,Commercial,Earth Observation,514,2016-06-22
Dove 2p-8 (0 Flock 2P-8 0E20),Dove 2p-8,USA,Commercial,Earth Observation,514,2016-06-22
Dove 2p-9 (0 Flock 2P-9 0E26),Dove 2p-9,USA,Commercial,Earth Observation,514,2016-06-22
Dove 3k-10 (0 Flock 3K-10 106d),Dove 3k-10,USA,Commercial,Earth Observation,509,2018-12-27
Dove 3k-11 (0 Flock 3K-11 106e),Dove 3k-11,USA,Commercial,Earth Observation,509,2018-12-27
Dove 3k-2 (0 Flock 3K-2 106c),Dove 3k-2,USA,Commercial,Earth Observation,510,2018-12-27
Dove 3k-4 (0 Flock 3K-4 1063),Dove 3k-4,USA,Commercial,Earth Observation,510,2018-12-27
Dove 3k-5 (0 Flock 3K-5 1067),Dove 3k-5,USA,Commercial,Earth Observation,509,2018-12-27
Dove 3k-7 (0 Flock 3K-7 106a),Dove 3k-7,USA,Commercial,Earth Observation,510,2018-12-27
Dove 3k-9 (0 Flock 3K-9 1065),Dove 3k-9,USA,Commercial,Earth Observation,509,2018-12-27
Dove 3m-2 (0 Flock 3M-2 0F02),Dove 3m-2,USA,Commercial,Earth Observation,520,2017-10-31
Dove 3m-4 (0 Flock 3M-4 0F4C),Dove 3m-4,USA,Commercial,Earth Observation,522,2017-10-31
Dove 3p-11 (0 Flock 3P-11 101F),Dove 3p-11,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p-12 (0 Flock 3P-12 1010),Dove  3p-12,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p-2 (0 Flock 3P-2 1001),Dove 3p-2,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p'-2 (0 Flock 3p'2 1102),Dove 3p'-2,USA,Commercial,Earth Observation,504,2018-01-11
Dove 3p-23 (0 Flock 3P-23 1025),Dove  3p-23,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p-24 (0 Flock 3P-24 1026),Dove  3p-24,USA,Commercial,Earth Observation,507,2017-02-14
Dove 3p-3 (0 Flock 3P-3 1002),Dove 3p-37,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p'-3 (0 Flock 3p'3 1105),Dove 3p'-3,USA,Commercial,Earth Observation,501,2018-01-11
Dove 3p-32 (0 Flock 3P-32 1035),Dove 3p-32,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p-33 (0 Flock 3P-33 103C),Dove 3p-33,USA,Commercial,Earth Observation,505,2017-02-14
Dove 3p-34 (0 Flock 3P-34 103B),Dove 3p-34,USA,Commercial,Earth Observation,505,2017-02-14
Dove 3p-4 (0 Flock 3P-4 1003),Dove 3p-4,USA,Commercial,Earth Observation,507,2017-02-14
Dove 3p'-4 (0 Flock 3p'4 1107),Dove 3p'-4,USA,Commercial,Earth Observation,504,2018-01-11
Dove 3p-40 (0 Flock 3P-40 1039),Dove 3p-40,USA,Commercial,Earth Observation,502,2017-02-14
Dove 3p-49 (0 Flock 3P-49 1038),Dove 3p-49,USA,Commercial,Earth Observation,505,2017-02-14
Dove 3p-50 (0 Flock 3P-50 1034),Dove 3p-50,USA,Commercial,Earth Observation,505,2017-02-14
Dove 3p-54 (0 Flock 3P-54 1005),Dove 3p-54,USA,Commercial,Earth Observation,502,2017-02-14
Dove 3p-55 (0 Flock 3P-55 1008),Dove 3p-55,USA,Commercial,Earth Observation,502,2017-02-14
Dove 3p-57 (0 Flock 3P-57 1014),Dove 3p-57,USA,Commercial,Earth Observation,506,2017-02-14
Dove 3p-58 (0 Flock 3P-58 1009),Dove 3p-58,USA,Commercial,Earth Observation,506,2017-02-14
